8,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,8,
8,12,12,12,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,
14,8,8,12,12,12,12,13,13,13,13,12,12,8,8,8,8,8,8,12,8,
14,14,14,8,8,8,8,12,12,13,13,12,8,8,14,14,14,14,14,8,8,
5,5,14,14,14,14,14,8,12,12,12,8,8,14,14,5,14,5,14,14,14,
5,14,5,5,14,5,14,14,8,8,8,8,14,14,5,8,5,5,14,5,14,
5,5,8,14,5,5,5,14,14,14,8,14,14,5,5,5,5,14,5,5,14,
5,5,5,14,5,5,14,5,5,14,14,14,14,5,5,5,8,5,5,14,5,
5,14,5,5,5,5,5,8,5,15,14,14,15,5,5,5,5,5,5,5,8,
5,5,14,5,8,5,5,5,5,16,15,14,15,5,5,5,5,8,5,5,5,
5,14,5,5,14,5,5,5,16,16,15,14,15,15,5,5,5,5,5,5,5,
8,5,5,14,5,5,5,16,16,15,14,14,14,14,15,5,5,5,5,5,5,
5,5,14,5,5,5,16,16,16,15,14,14,14,14,14,15,5,5,5,5,5,
5,5,5,5,5,16,16,16,15,14,14,14,15,15,14,15,16,5,5,5,5,
5,5,5,5,16,16,16,15,14,14,15,14,14,15,14,14,15,16,5,5,5,
5,5,16,16,16,16,16,15,14,14,14,14,14,14,14,14,15,16,16,5,5,
5,16,16,16,16,16,16,15,14,14,14,14,14,14,15,14,14,15,16,16,5,
16,16,16,16,16,16,15,14,14,15,14,14,14,15,14,14,14,14,15,16,16,
16,16,16,16,16,15,14,14,14,14,15,14,14,15,14,14,14,14,14,15,16,
16,16,16,16,15,14,14,14,14,14,15,14,14,15,14,14,14,14,14,15,16,
