6,6,6,6,6,6,6,6,6,6,15,6,6,6,6,6,6,6,6,6,6,
6,6,6,6,6,6,6,6,6,15,14,14,6,6,6,6,6,6,6,6,6,
6,6,6,6,6,6,6,6,15,15,14,14,14,6,6,6,13,6,6,6,6,
6,6,12,6,6,6,6,1,9,9,9,9,9,1,6,6,6,6,6,6,6,
6,6,6,6,6,6,1,9,9,9,9,9,9,9,1,6,6,6,6,6,6,
6,6,6,6,6,6,11,9,11,11,11,11,11,9,1,6,6,6,6,6,6,
6,6,6,6,6,6,11,9,11,0,0,7,11,9,1,6,6,6,6,6,6,
6,6,6,6,6,6,11,9,11,0,7,5,11,9,1,6,6,6,6,12,6,
6,6,6,6,13,6,11,9,11,7,5,5,11,9,1,6,6,6,6,6,6,
6,6,6,6,6,6,1,9,11,11,11,11,11,9,1,6,6,6,6,6,6,
6,6,6,6,6,15,1,9,9,9,9,9,9,9,1,15,6,6,6,6,6,
13,6,6,6,15,15,1,9,9,9,9,9,9,9,11,15,15,6,6,6,6,
6,6,6,15,15,15,1,9,9,9,9,9,9,9,11,15,15,15,6,6,12,
6,6,6,15,15,6,1,9,9,9,9,9,9,9,11,6,15,15,6,6,6,
6,6,6,14,14,6,15,15,15,15,14,14,14,14,14,6,14,14,6,6,6,
12,6,6,6,14,6,6,6,11,11,11,11,11,6,6,6,14,6,6,6,6,
6,6,6,6,6,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,
6,6,6,6,6,6,6,6,1,1,1,1,1,6,6,12,6,6,6,6,6,
6,6,6,6,13,6,6,6,6,6,10,6,6,6,6,6,6,6,6,6,6,
6,6,6,6,6,6,6,6,6,10,10,10,6,6,6,6,6,6,13,6,6,
